序号,地区,字项,义项,读音,备注,本地文件名
0001,浙江-温州-鹿城,多,many,tɤu33,单字_老男,0001_多_浙江-温州-鹿城.wav
0002,浙江-温州-鹿城,拖,drag,thɤu33,单字_老男,0002_拖_浙江-温州-鹿城.wav
0003,浙江-温州-鹿城,大,big,dɤu22,单字_老男,0003_大_浙江-温州-鹿城.wav
0004,浙江-温州-鹿城,锣,gong,lɤu31,单字_老男,0004_锣_浙江-温州-鹿城.wav
0005,浙江-温州-鹿城,左,left,tsɤu25,单字_老男,0005_左_浙江-温州-鹿城.wav
0006,浙江-温州-鹿城,歌,song,ku33,单字_老男,0006_歌_浙江-温州-鹿城.wav
0007,浙江-温州-鹿城,个,one,kai51,单字_老男,0007_个_浙江-温州-鹿城.wav
0008,浙江-温州-鹿城,可,can,khuɔ25,单字_老男,0008_可_浙江-温州-鹿城.wav
0009,浙江-温州-鹿城,鹅,goose,ŋo31 Ǿŋ31,单字_老男 白 文,0009_鹅_浙江-温州-鹿城.wav
0010,浙江-温州-鹿城,饿,hungry,ŋai22,单字_老男,0010_饿_浙江-温州-鹿城.wav
0011,浙江-温州-鹿城,河,river,vu31,单字_老男,0011_河_浙江-温州-鹿城.wav
0012,浙江-温州-鹿城,茄,eggplant,ɡa31 dzɿ31,单字_老男 番～ ～儿,0012_茄_浙江-温州-鹿城.wav
0013,浙江-温州-鹿城,破,break,pha51 phø51,单字_老男 白 文,0013_破_浙江-温州-鹿城.wav
0014,浙江-温州-鹿城,婆,mother-in-law,bø31,单字_老男,0014_婆_浙江-温州-鹿城.wav
0015,浙江-温州-鹿城,磨,grind,mø31,单字_老男,0015_磨_浙江-温州-鹿城.wav
0016,浙江-温州-鹿城,磨,mill,mø22,单字_老男,0016_磨_浙江-温州-鹿城.wav
0017,浙江-温州-鹿城,躲,hide,tɤu25,单字_老男,0017_躲_浙江-温州-鹿城.wav
0018,浙江-温州-鹿城,螺,screw,lɤu31,单字_老男,0018_螺_浙江-温州-鹿城.wav
0019,浙江-温州-鹿城,坐,sit,zuɔ14,单字_老男,0019_坐_浙江-温州-鹿城.wav
0020,浙江-温州-鹿城,锁,lock,so25,单字_老男,0020_锁_浙江-温州-鹿城.wav
0021,浙江-温州-鹿城,果,fruit,ku25,单字_老男,0021_果_浙江-温州-鹿城.wav
0022,浙江-温州-鹿城,过,come,ku51,单字_老男,0022_过_浙江-温州-鹿城.wav
0023,浙江-温州-鹿城,课,class,khu51,单字_老男,0023_课_浙江-温州-鹿城.wav
0024,浙江-温州-鹿城,火,fire,fu25,单字_老男,0024_火_浙江-温州-鹿城.wav
0025,浙江-温州-鹿城,货,commodity,fu51,单字_老男,0025_货_浙江-温州-鹿城.wav
0026,浙江-温州-鹿城,祸,disaster,vu14,单字_老男,0026_祸_浙江-温州-鹿城.wav
0027,浙江-温州-鹿城,靴,boots,ɕy33,单字_老男,0027_靴_浙江-温州-鹿城.wav
0028,浙江-温州-鹿城,把,handful,po25,单字_老男,0028_把_浙江-温州-鹿城.wav
0029,浙江-温州-鹿城,爬,climb,bo31,单字_老男,0029_爬_浙江-温州-鹿城.wav
0030,浙江-温州-鹿城,马,horse,mo14,单字_老男,0030_马_浙江-温州-鹿城.wav
0031,浙江-温州-鹿城,骂,scold,ma22,单字_老男,0031_骂_浙江-温州-鹿城.wav
0032,浙江-温州-鹿城,茶,tea,dzo31,单字_老男,0032_茶_浙江-温州-鹿城.wav
0033,浙江-温州-鹿城,沙,sand,so33,单字_老男,0033_沙_浙江-温州-鹿城.wav
0034,浙江-温州-鹿城,假,false,ko25,单字_老男,0034_假_浙江-温州-鹿城.wav
0035,浙江-温州-鹿城,嫁,marry,ko51,单字_老男,0035_嫁_浙江-温州-鹿城.wav
0036,浙江-温州-鹿城,牙,tooth,ŋo31,单字_老男,0036_牙_浙江-温州-鹿城.wav
0037,浙江-温州-鹿城,虾,shrimp,ho33,单字_老男,0037_虾_浙江-温州-鹿城.wav
0038,浙江-温州-鹿城,下,down,ɦo14,单字_老男,0038_下_浙江-温州-鹿城.wav
0039,浙江-温州-鹿城,夏,summer,ɦo22,单字_老男,0039_夏_浙江-温州-鹿城.wav
0040,浙江-温州-鹿城,哑,dumb,Ǿo25,单字_老男,0040_哑_浙江-温州-鹿城.wav
0041,浙江-温州-鹿城,姐,older sister,tsei25,单字_老男,0041_姐_浙江-温州-鹿城.wav
0042,浙江-温州-鹿城,借,borrow,tsei51,单字_老男,0042_借_浙江-温州-鹿城.wav
0043,浙江-温州-鹿城,写,write,sei25,单字_老男,0043_写_浙江-温州-鹿城.wav
0044,浙江-温州-鹿城,斜,incline,zei31,单字_老男,0044_斜_浙江-温州-鹿城.wav
0045,浙江-温州-鹿城,谢,thanks,zei22,单字_老男,0045_谢_浙江-温州-鹿城.wav
0046,浙江-温州-鹿城,车,car,tsho33,单字_老男,0046_车_浙江-温州-鹿城.wav
0047,浙江-温州-鹿城,蛇,snake,zei31,单字_老男,0047_蛇_浙江-温州-鹿城.wav
0048,浙江-温州-鹿城,射,shoot,zei22,单字_老男,0048_射_浙江-温州-鹿城.wav
0049,浙江-温州-鹿城,爷,grandpa,ji31,单字_老男,0049_爷_浙江-温州-鹿城.wav
0050,浙江-温州-鹿城,野,field,Ǿi25,单字_老男,0050_野_浙江-温州-鹿城.wav
0051,浙江-温州-鹿城,夜,night,ji22,单字_老男,0051_夜_浙江-温州-鹿城.wav
0052,浙江-温州-鹿城,瓜,melon,ko33,单字_老男,0052_瓜_浙江-温州-鹿城.wav
0053,浙江-温州-鹿城,瓦,watt,ŋo14,单字_老男,0053_瓦_浙江-温州-鹿城.wav
0054,浙江-温州-鹿城,花,flower,ho33,单字_老男,0054_花_浙江-温州-鹿城.wav
0055,浙江-温州-鹿城,化,change,ho51,单字_老男,0055_化_浙江-温州-鹿城.wav
0056,浙江-温州-鹿城,华,China,ɦo31,单字_老男,0056_华_浙江-温州-鹿城.wav
0057,浙江-温州-鹿城,谱,score,pø25,单字_老男,0057_谱_浙江-温州-鹿城.wav
0058,浙江-温州-鹿城,布,cloth,pø51,单字_老男,0058_布_浙江-温州-鹿城.wav
0059,浙江-温州-鹿城,铺,store,phø33,单字_老男,0059_铺_浙江-温州-鹿城.wav
0060,浙江-温州-鹿城,簿,notebook,bu14,单字_老男,0060_簿_浙江-温州-鹿城.wav
0061,浙江-温州-鹿城,步,step,bø22,单字_老男,0061_步_浙江-温州-鹿城.wav
0062,浙江-温州-鹿城,赌,wager,tø25,单字_老男,0062_赌_浙江-温州-鹿城.wav
0063,浙江-温州-鹿城,土,terra,thø25,单字_老男,0063_土_浙江-温州-鹿城.wav
0064,浙江-温州-鹿城,图,map,dø31,单字_老男,0064_图_浙江-温州-鹿城.wav
0065,浙江-温州-鹿城,杜,Du(a surname),dø14,单字_老男,0065_杜_浙江-温州-鹿城.wav
0066,浙江-温州-鹿城,奴,slave,nɤu31,单字_老男,0066_奴_浙江-温州-鹿城.wav
0067,浙江-温州-鹿城,路,road,lø22,单字_老男,0067_路_浙江-温州-鹿城.wav
0068,浙江-温州-鹿城,租,rent,tsø33,单字_老男,0068_租_浙江-温州-鹿城.wav
0069,浙江-温州-鹿城,做,do,tsɤu51,单字_老男,0069_做_浙江-温州-鹿城.wav
0070,浙江-温州-鹿城,错,wrong,tsho312,单字_老男,0070_错_浙江-温州-鹿城.wav
0071,浙江-温州-鹿城,箍,hoop,ku33,单字_老男,0071_箍_浙江-温州-鹿城.wav
0072,浙江-温州-鹿城,古,ancient,ku25,单字_老男,0072_古_浙江-温州-鹿城.wav
0073,浙江-温州-鹿城,苦,bitter,khu25,单字_老男,0073_苦_浙江-温州-鹿城.wav
0074,浙江-温州-鹿城,裤,trouser,khu51,单字_老男,0074_裤_浙江-温州-鹿城.wav
0075,浙江-温州-鹿城,吴,Wu(a surname),Ǿŋ31,单字_老男,0075_吴_浙江-温州-鹿城.wav
0076,浙江-温州-鹿城,五,five,Ǿŋ14,单字_老男,0076_五_浙江-温州-鹿城.wav
0077,浙江-温州-鹿城,虎,tiger,fu25,单字_老男,0077_虎_浙江-温州-鹿城.wav
0078,浙江-温州-鹿城,壶,pot,vu31,单字_老男,0078_壶_浙江-温州-鹿城.wav
0079,浙江-温州-鹿城,户,household,vu14,单字_老男,0079_户_浙江-温州-鹿城.wav
0080,浙江-温州-鹿城,乌,black,Ǿu33,单字_老男,0080_乌_浙江-温州-鹿城.wav
0081,浙江-温州-鹿城,女,female,ȵy14,单字_老男,0081_女_浙江-温州-鹿城.wav
0082,浙江-温州-鹿城,吕,Lv(a surname),lø14,单字_老男,0082_吕_浙江-温州-鹿城.wav
0083,浙江-温州-鹿城,徐,Xu a surname),zei31,单字_老男,0083_徐_浙江-温州-鹿城.wav
0084,浙江-温州-鹿城,猪,pig,tsei33,单字_老男,0084_猪_浙江-温州-鹿城.wav
0085,浙江-温州-鹿城,除,remove,dzɿ31,单字_老男,0085_除_浙江-温州-鹿城.wav
0086,浙江-温州-鹿城,初,early,tshɤu33,单字_老男,0086_初_浙江-温州-鹿城.wav
0087,浙江-温州-鹿城,锄,hoe,zɿ31 zɤu31,单字_老男 板～ ～地,0087_锄_浙江-温州-鹿城.wav
0088,浙江-温州-鹿城,所,place,so25,单字_老男,0088_所_浙江-温州-鹿城.wav
0089,浙江-温州-鹿城,书,book,sɿ33,单字_老男,0089_书_浙江-温州-鹿城.wav
0090,浙江-温州-鹿城,鼠,mouse,tshei25,单字_老男,0090_鼠_浙江-温州-鹿城.wav
0091,浙江-温州-鹿城,如,if/ as,zɿ31,单字_老男,0091_如_浙江-温州-鹿城.wav
0092,浙江-温州-鹿城,举,lift,tɕy25,单字_老男,0092_举_浙江-温州-鹿城.wav
0093,浙江-温州-鹿城,锯,saw,ku51 kø51,单字_老男 又 又,0093_锯_浙江-温州-鹿城.wav
0094,浙江-温州-鹿城,去,go,khei51 tɕhy51,单字_老男 白 文,0094_去_浙江-温州-鹿城.wav
0095,浙江-温州-鹿城,渠,canal,dʑy31,单字_老男,0095_渠_浙江-温州-鹿城.wav
0096,浙江-温州-鹿城,鱼,fish,ŋø31,单字_老男,0096_鱼_浙江-温州-鹿城.wav
0097,浙江-温州-鹿城,许,Xu(a surname),hei25 ɕy25,单字_老男 ～个 ～多,0097_许_浙江-温州-鹿城.wav
